area,ai_emp,total_emp,ai_per_1000
"San Jose-Sunnyvale-Santa Clara, CA",8760.0,1134660.0,7.72037438527841
"Lexington Park, MD",500.0,71670.0,6.976419701409236
"Durham-Chapel Hill, NC",1620.0,342530.0,4.7295127434093365
"San Francisco-Oakland-Fremont, CA",11210.0,2405740.0,4.659688910688603
"Bloomington, IL",390.0,90160.0,4.32564330079858
"Huntsville, AL",1120.0,260190.0,4.304546677428033
"Sierra Vista-Douglas, AZ",140.0,34120.0,4.103165298944901
"Ogden, UT",1080.0,270300.0,3.9955604883462823
"Seattle-Tacoma-Bellevue, WA",8170.0,2082610.0,3.9229620524246016
"Boulder, CO",740.0,195570.0,3.7838114230198907
"Washington-Arlington-Alexandria, DC-VA-MD-WV",11680.0,3118630.0,3.745234285567701
"Boston-Cambridge-Newton, MA-NH",9740.0,2707940.0,3.5968300627044916
"Idaho Falls, ID",280.0,81000.0,3.4567901234567904
"Des Moines-West Des Moines, IA",1320.0,405130.0,3.25821341297855
"Ithaca, NY",150.0,48030.0,3.123048094940662
"Denver-Aurora-Centennial, CO",4940.0,1618390.0,3.0524162902637806
"Provo-Orem-Lehi, UT",910.0,298460.0,3.0489847885813846
"Charlotte-Concord-Gastonia, NC-SC",3990.0,1340800.0,2.9758353221957043
"Austin-Round Rock-San Marcos, TX",3440.0,1260220.0,2.729682118995096
"San Diego-Chula Vista-Carlsbad, CA",4120.0,1533290.0,2.687032459612989
"Raleigh-Cary, NC",1940.0,723590.0,2.681076300114706
"Oxnard-Thousand Oaks-Ventura, CA",830.0,320180.0,2.5922918358423384
"Sacramento-Roseville-Folsom, CA",2660.0,1066390.0,2.4943969842177816
"Omaha, NE-IA",1190.0,491140.0,2.4229343975241275
"Providence-Warwick, RI-MA",1710.0,706440.0,2.420587735688806
"Dallas-Fort Worth-Arlington, TX",9500.0,4003820.0,2.372734038992762
"Sioux Falls, SD-MN",410.0,174730.0,2.346477422308705
"New York-Newark-Jersey City, NY-NJ",21240.0,9363020.0,2.2684988390497938
"Portland-Vancouver-Hillsboro, OR-WA",2740.0,1213760.0,2.257447930398102
"Utica-Rome, NY",260.0,117260.0,2.2172949002217295
"Charleston-North Charleston, SC",860.0,388220.0,2.2152387821338415
"St. Louis, MO-IL",2830.0,1339700.0,2.1124132268418303
"Atlanta-Sandy Springs-Roswell, GA",6040.0,2871980.0,2.1030787122473
"Rochester, NY",1030.0,490900.0,2.0981870034630274
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5970.0,2868720.0,2.0810675144315236
"Bakersfield-Delano, CA",690.0,335190.0,2.058533965810436
